Year,Format,Total_Revenue
2010,Vinyl Single,2300000
2011,CD Single,3500000
2011,Download Album,1070800000
2011,Download Music Video,32400000
2011,Download Single,1522400000
2011,DVD Audio,300000
2011,Kiosk,2700000
2011,LP/EP,119400000
2011,Music Video (Physical),151000000
2011,Paid Subscription,247800000
2011,Ringtones & Ringbacks,276200000
2011,SACD,1500000
2011,Vinyl Single,4600000
2012,CD Single,3200000
2012,Download Album,1204800000
2012,Download Music Video,20800000
2012,Download Single,1644600000
2012,Kiosk,3700000
2012,LP/EP,160700000
2012,Music Video (Physical),116600000
2012,Paid Subscription,399900000
2012,Ringtones & Ringbacks,146000000
2012,SACD,1300000
2012,Vinyl Single,4700000
2013,CD,2140900000
2013,CD Single,2400000
2013,Download Album,1232100000
2013,Download Music Video,16700000
2013,Download Single,1573400000
2013,DVD Audio,-500000
2013,Kiosk,6200000
2013,LP/EP,210700000
2013,Music Video (Physical),106300000
2013,Paid Subscription,643300000
2013,Ringtones & Ringbacks,98000000
2013,Vinyl Single,3000000
2014,CD,1776200000
2014,CD Single,3600000
2014,Download Album,1117900000
2014,Download Music Video,13600000
2014,Download Single,1355300000
2014,DVD Audio,2100000
2014,Kiosk,2600000
2014,LP/EP,243800000
2014,Music Video (Physical),89700000
2014,Paid Subscription,770300000
2014,Ringtones & Ringbacks,66300000
2014,Vinyl Single,5500000
2015,CD,1445000000
2015,CD Single,1200000
2015,Download Album,1064400000
2015,Download Music Video,6400000
2015,Download Single,1185200000
2015,DVD Audio,5400000
2015,Kiosk,3700000
2015,LP/EP,333400000
2015,Music Video (Physical),70400000
2015,Paid Subscription,1156700000
2015,Ringtones & Ringbacks,54600000
2015,Vinyl Single,5800000
2016,CD,1130800000
2016,CD Single,300000
2016,Download Album,868600000
2016,Download Music Video,4300000
2016,Download Single,900200000
2016,DVD Audio,2800000
2016,Kiosk,2900000
2016,LP/EP,355400000
2016,Music Video (Physical),56900000
2016,Ringtones & Ringbacks,56300000
2016,Vinyl Single,4900000
2017,CD,1057300000
2017,CD Single,1500000
2017,Download Album,668500000
2017,Download Music Video,2800000
2017,Download Single,678500000
2017,DVD Audio,2600000
2017,Kiosk,2300000
2017,LP/EP,388500000
2017,Music Video (Physical),38600000
2017,Ringtones & Ringbacks,35500000
2017,Vinyl Single,6100000
2018,CD,698400000
2018,Download Album,499700000
2018,Download Music Video,2200000
2018,Download Single,490400000
2018,DVD Audio,3300000
2018,Kiosk,2000000
2018,LP/EP,419200000
2018,Music Video (Physical),27600000
2018,Ringtones & Ringbacks,25000000
2018,Vinyl Single,5300000
